INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,
"Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,
,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,% of ETF,,
ARKG,2020-08-28,Sell,CBMG,15117P102,CELLULAR BIOMEDICINE GROUP INC,0.02,,
ARKG,2020-08-28,Buy,TAK,874060205,TAKEDA PHARMACEUTICAL CO LTD,0.103,,
ARKK,2020-08-28,Sell,ADSK,52769106,AUTODESK INC,0.241,,
ARKK,2020-08-28,Buy,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,0.251,,
ARKK,2020-08-28,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,0.005,,
ARKK,2020-08-28,Sell,MTLS,57667T100,MATERIALISE NV,0.004,,
ARKK,2020-08-28,Buy,NTDOY,654445303,NINTENDO CO LTD,0.057,,
ARKK,2020-08-28,Buy,PACB,69404D108,PACIFIC BIOSCIENCES OF CALIFORNIA INC,0.017,,
ARKK,2020-08-28,Buy,SNPS,871607107,SYNOPSYS INC,0.183,,
ARKK,2020-08-28,Buy,TREE,52603B107,LENDINGTREE INC,0.026,,
ARKK,2020-08-28,Sell,TSLA,88160R101,TESLA INC,0.38,,
ARKK,2020-08-28,Buy,TSM,874039100,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,0.146,,
ARKK,2020-08-28,Buy,TWLO,90138F102,TWILIO INC,0.252,,
ARKK,2020-08-28,Buy,TWOU,90214J101,2U INC,0.005,,
ARKK,2020-08-28,Sell,XLNX,983919101,XILINX INC,0.25,,
ARKW,2020-08-28,Buy,TREE,52603B107,LENDINGTREE INC,0.018,,
ARKW,2020-08-28,Sell,TSLA,88160R101,TESLA INC,0.108,,
ARKW,2020-08-28,Buy,TWOU,90214J101,2U INC,0.069,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
