INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,
"Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,
,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,% of ETF,,
ARKG,2020-09-01,Buy,AQB,03842K200,AQUABOUNTY TECHNOLOGIES INC,0.0102,,
ARKG,2020-09-01,Sell,CBMG,15117P102,CELLULAR BIOMEDICINE GROUP INC,0.2089,,
ARKG,2020-09-01,Buy,CLLS,15117K103,CELLECTIS SA,0.0015,,
ARKG,2020-09-01,Sell,CRSP,H17182108,CRISPR THERAPEUTICS AG,0.0256,,
ARKG,2020-09-01,Buy,EXAS,30063P105,EXACT SCIENCES CORP,0.3383,,
ARKG,2020-09-01,Sell,GH,40131M109,GUARDANT HEALTH INC,0.2643,,
ARKG,2020-09-01,Sell,NVTA,46185L103,INVITAE CORP,0.1195,,
ARKG,2020-09-01,Buy,TAK,874060205,TAKEDA PHARMACEUTICAL CO LTD,0.0244,,
ARKK,2020-09-01,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,0.0309,,
ARKK,2020-09-01,Sell,MTLS,57667T100,MATERIALISE NV,0.0131,,
ARKK,2020-09-01,Buy,NTDOY,654445303,NINTENDO CO LTD,0.0028,,
ARKK,2020-09-01,Buy,PACB,69404D108,PACIFIC BIOSCIENCES OF CALIFORNIA INC,0.0008,,
ARKK,2020-09-01,Buy,SNPS,871607107,SYNOPSYS INC,0.0357,,
ARKK,2020-09-01,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,0.1258,,
ARKK,2020-09-01,Buy,TREE,52603B107,LENDINGTREE INC,0.0245,,
ARKK,2020-09-01,Sell,XLNX,983919101,XILINX INC,0.1885,,
ARKQ,2020-09-01,Buy,BYDDY,05606L100,BYD CO LTD,0.0839,,
ARKQ,2020-09-01,Buy,NIU,65481N100,NIU TECHNOLOGIES,0.1155,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
