INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,
"Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,
,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,% of ETF,,
ARKG,2020-09-03,Buy,AQB,03842K200,AQUABOUNTY TECHNOLOGIES INC,0.007,,
ARKG,2020-09-03,Sell,CBMG,15117P102,CELLULAR BIOMEDICINE GROUP INC,0.004,,
ARKG,2020-09-03,Buy,CLLS,15117K103,CELLECTIS SA,0.019,,
ARKG,2020-09-03,Sell,GH,40131M109,GUARDANT HEALTH INC,0.081,,
ARKG,2020-09-03,Buy,TDOC,87918A105,TELADOC HEALTH INC,0.259,,
ARKG,2020-09-03,Sell,XLNX,983919101,XILINX INC,0.095,,
ARKK,2020-09-03,Buy,PD,69553P100,PAGERDUTY INC,0.249,,
ARKK,2020-09-03,Sell,PINS,72352L106,PINTEREST INC,0.293,,
ARKK,2020-09-03,Buy,TDOC,87918A105,TELADOC HEALTH INC,0.197,,
ARKK,2020-09-03,Sell,TER,880770102,TERADYNE INC,0.1,,
ARKQ,2020-09-03,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,0.153,,
ARKQ,2020-09-03,Sell,TER,880770102,TERADYNE INC,0.557,,
ARKQ,2020-09-03,Buy,TRMB,896239100,TRIMBLE INC,0.204,,
ARKQ,2020-09-03,Buy,TWOU,90214J101,2U INC,0.209,,
ARKW,2020-09-03,Sell,HUYA,44852D108,HUYA INC,0.127,,
ARKW,2020-09-03,Buy,PD,69553P100,PAGERDUTY INC,0.238,,
ARKW,2020-09-03,Sell,SE,81141R100,SEA LTD,0.242,,
ARKW,2020-09-03,Sell,SQ,852234103,SQUARE INC,0.196,,
ARKW,2020-09-03,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,0.381,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
