INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,
"Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,
,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,,
ARKG,2020-08-21,Buy,ACCD,4.37E+104,ACCOLADE INC,22103,,
ARKG,2020-08-21,Buy,AQB,03842K200,AQUABOUNTY TECHNOLOGIES INC,6068,,
ARKG,2020-08-21,Sell,ARCT,03969T109,ARCTURUS THERAPEUTICS HOLDINGS INC,45800,,
ARKG,2020-08-21,Sell,CBMG,15117P102,CELLULAR BIOMEDICINE GROUP INC,7794,,
ARKG,2020-08-21,Buy,CLLS,15117K103,CELLECTIS SA,23538,,
ARKG,2020-08-21,Buy,PHR,71944F106,PHREESIA INC,7729,,
ARKK,2020-08-21,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,46900,,
ARKK,2020-08-21,Sell,MTLS,57667T100,MATERIALISE NV,6100,,
ARKK,2020-08-21,Buy,NTDOY,654445303,NINTENDO CO LTD,149811,,
ARKK,2020-08-21,Buy,PACB,69404D108,PACIFIC BIOSCIENCES OF CALIFORNIA INC,129800,,
ARKK,2020-08-21,Buy,PSTG,74624M102,PURE STORAGE INC,114839,,
ARKK,2020-08-21,Buy,SNPS,871607107,SYNOPSYS INC,89820,,
ARKK,2020-08-21,Sell,TSLA,88160R101,TESLA INC,9285,,
ARKQ,2020-08-21,Buy,NIU,65481N100,NIU TECHNOLOGIES,108679,,
ARKQ,2020-08-21,Buy,ROK,773903109,ROCKWELL AUTOMATION INC,4619,,
ARKQ,2020-08-21,Buy,SNPS,871607107,SYNOPSYS INC,9918,,
ARKQ,2020-08-21,Buy,TRMB,896239100,TRIMBLE INC,61470,,
ARKQ,2020-08-21,Sell,TSLA,88160R101,TESLA INC,5076,,
ARKQ,2020-08-21,Buy,TSM,874039100,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,26382,,
ARKW,2020-08-21,Buy,ADYEY,00783V104,ADYEN NV,205800,,
ARKW,2020-08-21,Buy,OKTA,679295105,OKTA INC,20700,,
ARKW,2020-08-21,Buy,PSTG,74624M102,PURE STORAGE INC,144009,,
ARKW,2020-08-21,Sell,TSLA,88160R101,TESLA INC,4734,,
,,,,,,,,
